Filename:	d:\clemens 2016\lme_0_11.drdd 						
Operator ID:	 						
Sample ID:	LME_0_11 						
Comment: 	Isothermal 180C 4h 						
Serial Number:	587P2203 						
Data Collected:	10/10/16 15:01						
Sample Weight:	14.400 mg 						
Display Weight:	14.400						
Validation 							
Validated:	No 						
By:	 						
Date:	 						
Calibration Information 							
Filename:	C:\Program Files\PerkinElmer\Pyris\Calibrations\default.drdc 						
Heat flow unit: mW/s     						
Initial Conditions 							
Temperature:	 30.00 °C 						
Y Initial:	20.00 mW 						
Sample Rate:	Standard 						
Baseline Filename:	D:\foostrum\FiberCore baseline.drdd 						
End Condition:	Go To Load 						
Total Points in Run:	14490						
Method Steps: 							
Pre-Run Actions 							
Start the Run 							
	Action occurs Immediately 						
Switch the Gas to Nitrogen at 20.0 ml/min  							
	Action occurs Immediately 						
	1.100.000	-23.256.927	0.000000	140.000.000	97.727.715	0.000000	1.480.999
	1.116.667	-23.765.105	0.000000	141.666.667	99.369.637	0.000000	1.480.999
	1.133.333	-24.305.417	0.000000	143.333.333	100.999.985	0.000000	1.480.999
	1.150.000	-24.779.626	0.000000	145.000.000	102.644.714	0.000000	1.480.999
	1.166.667	-25.287.664	0.000000	146.666.667	104.273.544	0.000000	1.480.999
	1.183.333	-25.737.367	0.000000	148.333.333	105.908.028	0.000000	1.480.999
	1.200.000	-26.175.705	0.000000	150.000.000	107.545.113	0.000000	1.480.999
	1.216.667	-26.643.065	0.000000	151.666.667	109.178.101	0.000000	1.480.999
	1.233.333	-27.054.988	0.000000	153.333.333	110.820.656	0.000000	1.480.999
	1.250.000	-27.497.631	0.000000	155.000.000	112.446.175	0.000000	1.480.999
	1.266.667	-27.889.641	0.000000	156.666.667	114.086.342	0.000000	1.480.999
	1.283.333	-28.309.756	0.000000	158.333.333	115.706.482	0.000000	1.480.999
	1.300.000	-28.682.980	0.000000	160.000.000	117.340.370	0.000000	1.480.999
	1.316.667	-29.083.041	0.000000	161.666.667	118.961.472	0.000000	1.480.999
	1.333.333	-29.434.937	0.000000	163.333.333	120.594.627	0.000000	1.480.999
	1.350.000	-29.773.276	0.000000	165.000.000	122.218.452	0.000000	1.480.999
	1.366.667	-30.125.034	0.000000	166.666.667	123.841.080	0.000000	1.480.999
	1.383.333	-30.424.953	0.000000	168.333.333	125.465.813	0.000000	1.480.999
	1.400.000	-30.726.640	0.000000	170.000.000	127.086.517	0.000000	1.480.999
	1.416.667	-30.969.854	0.000000	171.666.667	128.726.669	0.000000	1.480.999
	1.433.333	-31.194.989	0.000000	173.333.333	130.345.032	0.000000	1.480.999
	1.450.000	-31.353.248	0.000000	175.000.000	131.976.700	0.000000	1.480.999
	1.466.667	-31.469.770	0.000000	176.666.667	133.592.041	0.000000	1.480.999
	1.483.333	-31.519.629	0.000000	178.333.333	135.224.625	0.000000	1.480.999
2) Sapphire DSC Isothermal 							
	1.500.000	-31.510.234	0.000000	180.000.000	136.840.271	0.000000	1.480.999
	1.516.667	-31.442.088	0.000000	180.000.000	138.477.585	0.000000	1.480.999
	1.533.333	-31.320.339	0.000000	180.000.000	140.117.691	0.000000	1.480.999
	1.550.000	-31.139.695	0.000000	180.000.000	141.752.319	0.000000	1.480.999
	1.566.667	-30.947.257	0.000000	180.000.000	143.400.345	0.000000	1.480.999
